ID_Etudiant,Nom,Classe_ID,Notes,Absences
1,Allison Hill,41,11.74,5
2,Noah Rhodes,8,7.0,0
3,Angie Henderson,2,3.27,17
4,Daniel Wagner,48,17.89,12
5,Cristian Santos,18,14.98,10
6,Connie Lawrence,16,13.78,13
7,Abigail Shaffer,15,5.7,15
8,Gina Moore,9,7.73,11
9,Gabrielle Davis,48,3.26,12
10,Ryan Munoz,7,11.45,12
11,Monica Herrera,44,19.3,2
12,Jamie Arnold,48,17.14,16
13,Lisa Hensley,35,12.95,9
14,Michele Williams,6,13.55,9
15,Dylan Miller,38,5.38,6
16,Brian Ramirez,28,8.19,17
17,Holly Wood,3,0.4,12
18,Derek Zuniga,2,15.61,3
19,Lisa Jackson,6,15.35,4
20,Carla Gray,14,0.18,10
21,Margaret Hawkins DDS,15,18.23,18
22,Patty Perez,33,12.95,1
23,Ethan Adams,39,12.02,9
24,Tommy Walter,2,0.17,14
25,Matthew Foster,36,5.05,20
26,Judy Baker,13,16.1,5
27,Justin Baker,46,6.11,18
28,Stephanie Ross,42,19.34,4
29,Zachary Hicks,45,12.85,14
30,Anthony Rodriguez,35,8.48,15
31,Rebecca Henderson,27,7.53,9
32,James Ferrell,15,6.97,4
33,Tricia Valencia,29,5.04,6
34,Nathan Maldonado,38,9.33,6
35,Debra Davidson,18,13.54,6
36,Jeffrey Chavez,1,16.49,20
37,Sherri Baker,49,7.94,0
38,Cassandra Gaines,11,2.05,11
39,Elizabeth Fowler,45,10.23,18
40,Brittany Farmer,28,13.25,3
41,Paula Moreno,22,16.87,4
42,Fred Smith,18,7.48,12
43,Sherry Decker,10,12.95,13
44,Anthony Humphrey,14,12.18,5
45,Angelica Tucker,49,5.97,1
46,Philip Cannon,22,2.16,3
47,John Pierce,7,1.28,11
48,Shane Henderson,6,19.77,15
49,Joshua Blair,25,12.81,5
50,Eric Carney,7,17.23,1
51,Jessica Holmes,23,5.22,3
52,Danny Morgan,23,14.22,16
53,Crystal Robinson,39,17.85,20
54,Mark Perez,17,5.98,10
55,Shannon Jones,3,3.0,18
56,Michael Lewis,47,15.31,13
57,Timothy Duncan,30,17.99,4
58,Richard Aguirre,35,16.11,20
59,Brent Jordan,8,16.05,12
60,John Daniel,25,12.0,7
61,Victoria Garcia,6,13.21,1
62,Gerald Hensley,36,13.62,3
63,Connor West,19,14.43,7
64,Donald Wright,41,13.11,12
65,Jessica Callahan,40,19.95,15
66,Amber Kidd,24,5.19,9
67,Tracy House,37,8.37,19
68,Carol Tucker,13,7.77,5
